	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
4587	Hemitriccus orbitatus				NT				NT				NT				NT					
4588	Hemitriccus rufigularis				NT				NT				NT				NT	NT				
4589	Hemitriccus spodiops				LC				LC	LC			LC				LC					
4590	Hemitriccus striaticollis				LC				LC	LC			LC				LC					
4591	Hemitriccus zosterops						LC		LC	LC			LC				LC					
4592	Hemixos castanonotus				LC				LC	LC			LC				LC					
4593	Hemixos cinereus																LC					
4594	Hemixos connectens																LC					
4595	Hemixos flavala																LC					
4596	Hemixos leucogrammicus				LC				LC	LC			LC				LC					
4597	Henicopernis infuscatus				VU				VU				VU				VU		VU			
4598	Henicopernis longicauda				LC				LC	LC			LC				LC					
4599	Henicophaps albifrons				LC				LC	LC			LC				LC					
4600	Henicophaps foersteri				VU				VU				VU				VU		VU			
4601	Henicorhina anachoreta																LC	NT				
4602	Henicorhina leucophrys																LC					
4603	Henicorhina leucoptera				NT				NT				NT				NT					
4604	Henicorhina leucosticta				LC				LC	LC			LC				LC		LC			
4605	Henicorhina negreti							CR	CR	CR	CR		CR			CR	CR	CR	VU			
4606	Herpetotheres cachinnans				LC				LC	LC			LC				LC					
4607	Herpsilochmus atricapillus				LC				LC	LC			LC				LC		LC			
4608	Herpsilochmus axillaris				LC				LC	LC			VU				VU					
4609	Herpsilochmus dorsimaculatus				LC				LC	LC			LC				LC					
4610	Herpsilochmus dugandi				LC				LC	LC			LC				LC					
4611	Herpsilochmus gentryi				NT				NT				NT				NT	LC				
4612	Herpsilochmus longirostris				LC				LC	LC			LC				LC		LC			
4613	Herpsilochmus motacilloides				LC				LC	LC			NT				NT					
4614	Herpsilochmus parkeri				EN				EN				EN				EN					
4615	Herpsilochmus pectoralis				VU				VU				VU				VU	VU				
4616	Herpsilochmus pileatus		VU		VU				VU				VU				VU	VU				
4617	Herpsilochmus praedictus																LC	LC				
4618	Herpsilochmus roraimae				LC				LC	LC			LC				LC					
4619	Herpsilochmus rufimarginatus																LC	LC				
4620	Herpsilochmus scapularis																LC					
4621	Herpsilochmus sellowi		NT		NT				NT			LC	LC				LC					
4622	Herpsilochmus stictocephalus				LC				LC	LC			LC				LC					
4623	Herpsilochmus sticturus				LC				LC	LC			LC				LC					
4624	Herpsilochmus stotzi																LC	LC				
4625	Hesperiphona abeillei				LC				LC	LC			LC				LC					
4626	Hesperiphona vespertina				LC				LC	LC			LC				LC		VU			
4627	Heterocercus aurantiivertex				LC				LC	LC			LC				LC					
4628	Heterocercus flavivertex				LC				LC	LC			LC				LC					
4629	Heterocercus linteatus				LC				LC	LC			LC				LC	LC				
4630	Heteroglaux blewitti				CR				CR	CR	CR		CR	CR		CR	CR	CR	EN			
4631	Heteromirafra archeri															CR	CR		CR			
4632	Heteromirafra ruddi				CR	VU			VU				VU				VU	EN				
4633	Heteromunia pectoralis				NT			LC	LC	LC			LC				LC					
4634	Heteromyias albispecularis																LC					
4635	Heteromyias armiti																LC					
4636	Heteromyias cinereifrons																LC	LC				
4637	Heteronetta atricapilla				LC				LC	LC			LC				LC					
4638	Heterophasia auricularis				LC				LC	LC			LC			LC	LC					
4639	Heterophasia capistrata				LC				LC	LC			LC				LC					
4640	Heterophasia desgodinsi								LC	LC			LC				LC		LC			
4641	Heterophasia gracilis				LC				LC	LC			LC				LC		LC			
4642	Heterophasia melanoleuca								LC	LC			LC	LC			LC					
4643	Heterophasia picaoides				LC				LC	LC			LC				LC					
4644	Heterophasia pulchella				LC				LC	LC			LC				LC		LC			
4645	Heteroscenes pallidus				LC				LC	LC			LC				LC					
4646	Heterospingus rubrifrons				LC				LC	LC			LC				LC		LC			
4647	Heterospingus xanthopygius				LC				LC	LC			LC				LC					
4648	Heterotetrax humilis				NT				NT				NT				NT					
4649	Heterotetrax rueppelii				LC				LC	LC			LC				LC					
4650	Heterotetrax vigorsii				LC				LC	LC			LC				LC					
4651	Heteroxenicus stellatus				LC				LC	LC			LC				LC		LC			
4652	Hieraaetus ayresii				LC				LC	LC			LC			LC	LC					
4653	Hieraaetus morphnoides						LC		LC	LC			LC	LC			LC					
4654	Hieraaetus pennatus				LC				LC	LC			LC	LC		LC	LC					
4655	Hieraaetus wahlbergi				LC				LC	LC			LC	LC		LC	LC					
4656	Hieraaetus weiskei						LC		LC	LC			LC				LC					
4657	Hierococcyx bocki														LC		LC					
4658	Hierococcyx fugax														LC		LC					
4659	Hierococcyx hyperythrus														LC		LC					
4660	Hierococcyx nisicolor														LC		LC					
4661	Hierococcyx pectoralis														LC		LC					
4662	Hierococcyx sparverioides														LC		LC					
4663	Hierococcyx vagans				NT				NT				NT				NT					
4664	Hierococcyx varius				LC				LC	LC			LC				LC					
4665	Himantopus himantopus														LC		LC					
4666	Himantopus novaezelandiae				CR		CR	CR	CR	CR			CR	CR		CR	CR					
4667	Himantornis haematopus				LC				LC	LC			LC				LC					
4668	Himatione sanguinea																LC	LC				
4669	Hippolais icterina				LC				LC	LC			LC				LC					
4670	Hippolais languida				LC				LC	LC			LC				LC					
4671	Hippolais olivetorum				LC				LC	LC			LC				LC					
4672	Hippolais polyglotta				LC				LC	LC			LC				LC	LC				
4673	Hirundapus caudacutus				LC				LC	LC			LC				LC					
4674	Hirundapus celebensis				LC				LC	LC			LC				LC					
4675	Hirundapus cochinchinensis				LC				LC	LC			LC				LC					
4676	Hirundapus giganteus				LC				LC	LC			LC				LC					
4677	Hirundinea bellicosa				LC												LC					
4678	Hirundinea ferruginea				LC												LC					
4679	Hirundo aethiopica				LC				LC	LC			LC				LC					
4680	Hirundo albigularis				LC				LC	LC			LC				LC					
4681	Hirundo angolensis				LC				LC	LC			LC				LC					
4682	Hirundo atrocaerulea				VU				VU				VU				VU			VU		
4683	Hirundo dimidiata				LC				LC	LC			LC				LC					
4684	Hirundo javanica																LC					
4685	Hirundo leucosoma				LC				LC	LC			LC				LC					
4686	Hirundo lucida				LC				LC	LC			LC				LC	LC				
4687	Hirundo megaensis				VU		VU		VU				VU				VU					
4688	Hirundo neoxena				LC				LC	LC			LC				LC					
4689	Hirundo nigrita				LC				LC	LC			LC				LC					
4690	Hirundo nigrorufa				LC				LC	LC			LC				LC					
4691	Hirundo rustica				LC				LC	LC			LC				LC			LC		
4692	Hirundo smithii				LC				LC	LC			LC				LC					
4693	Hirundo tahitica																LC					
4694	Histrionicus histrionicus				LC				LC	LC			LC				LC		LC			
4695	Histurgops ruficauda				LC				LC	LC			LC				LC					
4696	Hodgsonius phaenicuroides				LC				LC	LC			LC				LC	LC				
4697	Hoploxypterus cayanus				LC				LC	LC			LC				LC					
4698	Horizocerus albocristatus														LC		LC					
4699	Horizocerus cassini														LC		LC					
4700	Horizocerus granti														LC		LC					
4701	Horizocerus hartlaubi														LC		LC					
4702	Horornis acanthizoides										LC		LC	LC			LC	LC				
4703	Horornis annae				LC				LC	LC			LC				LC					
4704	Horornis brunnescens										LC		LC				LC					
4705	Horornis canturians				LC				LC	LC			LC				LC			LC		
4706	Horornis carolinae				NT				NT				NT				NT			NT		
4707	Horornis diphone				LC				LC	LC			LC				LC	LC				
4708	Horornis flavolivaceus																LC					
4709	Horornis fortipes				LC				LC	LC			LC				LC					
4710	Horornis haddeni								NT				NT				NT		NT			
4711	Horornis parens				LC				LC	LC			LC				LC					
4712	Horornis ruficapilla				LC				LC	LC			LC				LC					
4713	Horornis seebohmi				LC				LC	LC			LC				LC		LC			
4714	Houbaropsis bengalensis				EN			CR	CR	CR	CR		CR	CR		CR	CR	CR	CR			
4715	Humblotia flavirostris				EN				EN				EN				EN					
4716	Hydrobates castro																		LC			
4717	Hydrobates cheimomnestes																		VU			
4718	Hydrobates furcatus				LC				LC	LC			LC				LC		LC			
4719	Hydrobates homochroa				EN	EN		EN	EN		EN		EN	EN			EN		EN			
4720	Hydrobates hornbyi				DD				DD		DD		DD				DD		DD	NT		
4721	Hydrobates jabejabe																		LC			
4722	Hydrobates leucorhous																		VU			
4723	Hydrobates macrodactylus				CR	CR	CR		CR	CR	CR		CR				CR		CR			
4724	Hydrobates markhami				DD				DD		DD		DD				DD	DD	DD	NT		
4725	Hydrobates matsudairae				DD				DD		DD		DD		VU		VU		VU			
4726	Hydrobates melania				LC				LC	LC			LC	LC			LC		LC			
4727	Hydrobates microsoma				LC				LC	LC			LC				LC		LC			
4728	Hydrobates monorhis				LC				LC	LC			NT		NT		NT		NT			
4729	Hydrobates monteiroi										VU		VU	VU			VU		VU			
4730	Hydrobates pelagicus				LC				LC	LC			LC				LC	LC	LC			
4731	Hydrobates socorroensis																		EN			
4732	Hydrobates tethys				LC				LC	LC			LC	LC			LC		LC			
4733	Hydrobates tristrami				NT				NT		NT		NT				NT		NT	LC		
4734	Hydrochous gigas				NT				NT				NT				NT	NT				
4735	Hydrocoloeus minutus				LC				LC	LC			LC				LC		LC			
4736	Hydrophasianus chirurgus				LC				LC	LC			LC				LC					
4737	Hydroprogne caspia				LC				LC	LC			LC			LC	LC	LC	LC	LC		
4738	Hydropsalis cayennensis				LC				LC	LC			LC				LC					
4739	Hydropsalis climacocerca				LC				LC	LC			LC				LC					
4740	Hydropsalis maculicaudus				LC				LC	LC			LC				LC					
4741	Hydropsalis torquata				LC				LC	LC			LC				LC					
4742	Hydrornis baudii				VU				VU				VU				VU					
4743	Hydrornis caeruleus				NT				NT				NT				NT	NT				
4744	Hydrornis cyaneus				LC				LC	LC			LC				LC					
4745	Hydrornis elliotii				LC				LC	LC			LC				LC					
4746	Hydrornis guajanus											LC	LC				LC					
4747	Hydrornis gurneyi				CR	CR			EN				EN				EN	EN		CR		
4748	Hydrornis irena											NT	NT				NT					
4749	Hydrornis nipalensis				LC				LC	LC			LC				LC					
4750	Hydrornis oatesi				LC				LC	LC			LC				LC		LC			
4751	Hydrornis phayrei				LC				LC	LC			LC				LC		LC			
4752	Hydrornis schneideri				VU				VU				VU				VU					
4753	Hydrornis schwaneri											LC	LC				LC					
4754	Hydrornis soror				LC				LC	LC			LC				LC					
4755	Hylatomus fuscipennis														LC		LC					
4756	Hylatomus lineatus														LC		LC					
4757	Hylatomus pileatus				LC				LC	LC			LC				LC					
4758	Hylatomus schulzii				NT				NT				NT				NT					
4759	Hylexetastes perrotii																LC					
4760	Hylexetastes stresemanni				LC				LC	LC			LC				LC	LC	LC			
4761	Hylia prasina				LC				LC	LC			LC				LC		LC			
4762	Hyliota australis				LC				LC	LC			LC				LC					
4763	Hyliota flavigaster				LC				LC	LC			LC				LC	LC				
4764	Hyliota usambara				EN				EN				EN				EN					
4765	Hyliota violacea				LC				LC	LC			LC				LC	LC				
4766	Hylocharis chrysura				LC				LC	LC			LC				LC					
4767	Hylocharis cyanus				LC				LC	LC			LC				LC					
4768	Hylocharis eliciae				LC				LC	LC			LC				LC					
4769	Hylocichla mustelina				LC				LC	LC			LC		NT		NT	NT				
4770	Hylocitrea bonensis																LC					
4771	Hylocitrea bonthaina																EN					
4772	Hylomanes momotula				LC				LC	LC			LC				LC					
4773	Hylonympha macrocerca				VU				EN				EN				EN					
4774	Hylopezus auricularis				VU				VU				VU				VU		VU			
4775	Hylopezus berlepschi				LC				LC	LC			LC				LC		LC			
4776	Hylopezus dives				LC				LC	LC			LC				LC	LC				
4777	Hylopezus fulviventris				LC				LC	LC			LC				LC		LC			
4778	Hylopezus macularius				LC				LC	LC			LC				LC					
4779	Hylopezus nattereri				LC				LC	LC			LC				LC					
4780	Hylopezus ochroleucus				NT				NT				NT		NT		NT					
4781	Hylopezus perspicillatus				LC				LC	LC			LC				LC		LC			
4782	Hylophilus amaurocephalus				LC				LC	LC			LC				LC		LC			
4783	Hylophilus brunneiceps				LC				LC	LC			LC				LC		LC			
4784	Hylophilus flavipes																LC					
4785	Hylophilus griseiventris																LC					
4786	Hylophilus insularis																LC	LC				
4787	Hylophilus olivaceus				LC				LC	LC			NT				NT					
4788	Hylophilus pectoralis				LC				LC	LC			LC				LC		LC			
4789	Hylophilus poicilotis				LC				LC	LC			LC				LC		LC			
4790	Hylophilus semicinereus				LC				LC	LC			LC				LC	LC	LC			
4791	Hylophilus thoracicus																LC	LC				
4792	Hylophilus viridiflavus																LC	LC				
4793	Hylophylax naevioides				LC				LC	LC			LC				LC					
4794	Hylophylax naevius				LC				LC	LC			LC				LC					
4795	Hylophylax punctulatus				LC				LC	LC			LC				LC	LC				
4796	Hylopsar cupreocauda				NT				NT				NT				NT					
4797	Hylopsar purpureiceps				LC				LC	LC			LC				LC		LC			
4798	Hylorchilus navai				VU				VU				VU				VU	VU				
4799	Hylorchilus sumichrasti				NT				NT				NT	NT			NT	NT				
4800	Hymenolaimus malacorhynchos		EN		EN		EN		EN				EN	EN			EN					
4801	Hymenops perspicillatus				LC				LC	LC			LC				LC					
4802	Hypargos margaritatus				LC				LC	LC			LC				LC		LC			
4803	Hypargos niveoguttatus				LC				LC	LC			LC				LC					
4804	Hypergerus atriceps				LC				LC	LC			LC				LC					
4805	Hypnelus bicinctus														LC		LC					
4806	Hypnelus ruficollis														LC		LC					
4807	Hypocnemis cantator									LC			NT				NT			LC		
4808	Hypocnemis flavescens									LC			LC				LC					
4809	Hypocnemis hypoxantha				LC				LC	LC			LC				LC					
4810	Hypocnemis ochrogyna									LC			LC				LC	VU				
4811	Hypocnemis peruviana									LC			LC				LC					
4812	Hypocnemis rondoni																LC	LC				
4813	Hypocnemis striata									LC			LC				LC					
4814	Hypocnemis subflava									LC			LC				LC					
4815	Hypocnemoides maculicauda				LC				LC	LC			LC				LC					
4816	Hypocnemoides melanopogon				LC				LC	LC			LC				LC		LC			
4817	Hypocolius ampelinus				LC				LC	LC			LC				LC		LC	LC		
4818	Hypocryptadius cinnamomeus				LC				LC	LC			LC				LC					
4819	Hypoedaleus guttatus				LC				LC	LC			LC				LC	LC				
4820	Hypopyrrhus pyrohypogaster				EN				EN				VU	VU			VU		VU			
4821	Hypositta corallirostris				LC				LC	LC			LC				LC					
4822	Hypotaenidia immaculata														NT		NT					
4823	Hypotaenidia insignis				NT		NT		NT				NT				NT		NT			
4824	Hypotaenidia okinawae				EN		EN		EN				EN	EN			EN					
4825	Hypotaenidia owstoni				EX				EX		EX		EX				EX			CR		
4826	Hypotaenidia philippensis				LC				LC	LC			LC				LC					
4827	Hypotaenidia rovianae				NT		NT		NT				NT				NT					
4828	Hypotaenidia sylvestris				EN		EN		EN				EN	EN			EN					
4829	Hypotaenidia tertia														NT		NT					
4830	Hypotaenidia torquata				LC				LC	LC			LC				LC		LC			
4831	Hypotaenidia woodfordi														NT		NT					
4832	Hypothymis azurea																LC					
4833	Hypothymis coelestis				VU				VU				VU				VU	VU	VU			
4834	Hypothymis helenae				NT				NT				NT				NT					
4835	Hypothymis puella																LC	LC				
4836	Hypsipetes affinis																LC					
4837	Hypsipetes amaurotis				LC				LC	LC			LC				LC	LC	LC			
4838	Hypsipetes aureus																LC	LC				
4839	Hypsipetes borbonicus				LC				LC	LC			LC	LC			LC	NT				
4840	Hypsipetes catarmanensis																NT					
4841	Hypsipetes chloris																LC					
4842	Hypsipetes crassirostris				LC				LC	LC			LC				LC					
4843	Hypsipetes everetti																LC					
4844	Hypsipetes ganeesa																LC					
4845	Hypsipetes harterti																LC	LC				
4846	Hypsipetes haynaldi																NT					
4847	Hypsipetes leucocephalus																LC					
4848	Hypsipetes longirostris																LC					
4849	Hypsipetes lucasi																LC					
4850	Hypsipetes madagascariensis				LC				LC	LC			LC				LC		LC			
4851	Hypsipetes moheliensis																EN					
4852	Hypsipetes mysticalis																LC					
4853	Hypsipetes olivaceus				VU		VU		VU				VU				VU					
4854	Hypsipetes parvirostris																VU					
4855	Hypsipetes philippinus				LC				LC	LC			LC				LC		LC			
4856	Hypsipetes platenae																CR	CR	CR			
4857	Hypsipetes rufigularis				NT				NT				NT				NT		NT			
4858	Hypsipetes siquijorensis				EN				EN				EN				EN	EN				
4859	Hypsipetes thompsoni				LC				LC	LC			LC				LC					
4860	Ibidorhyncha struthersii				LC				LC	LC			LC				LC					
4861	Ibycter americanus				LC				LC	LC			LC				LC					
4862	Icteria virens				LC				LC	LC			LC				LC		LC			
4863	Icterus abeillei				LC				LC	LC			LC				LC		LC			
4864	Icterus auratus				LC				LC	LC			LC				LC		LC			
4865	Icterus auricapillus				LC				LC	LC			LC				LC					
4866	Icterus bonana				VU				VU				VU	VU			VU					
4867	Icterus bullockiorum				LC				LC	LC			LC				LC					
4868	Icterus cayanensis				LC												LC		LC			
4869	Icterus chrysater				LC				LC	LC			LC				LC					
4870	Icterus chrysocephalus				LC												LC		LC			
4871	Icterus croconotus								LC	LC			LC				LC		LC			
4872	Icterus cucullatus				LC				LC	LC			LC				LC					
4873	Icterus dominicensis											LC	LC	LC			LC					
4874	Icterus fuertesi																LC	LC		LC		
4875	Icterus galbula				LC				LC	LC			LC				LC		LC			
4876	Icterus graceannae				LC				LC	LC			LC				LC					
4877	Icterus graduacauda				LC				LC	LC			LC				LC		LC			
4878	Icterus gularis				LC				LC	LC			LC				LC					
4879	Icterus icterus								LC	LC			LC				LC		LC			
4880	Icterus jamacaii				LC				LC	LC			LC				LC		LC			
4881	Icterus laudabilis				NT				NT				NT				NT					
4882	Icterus leucopteryx				LC				LC	LC			LC				LC					
4883	Icterus maculialatus				LC				LC	LC			LC				LC					
4884	Icterus melanopsis											LC	LC				LC					
4885	Icterus mesomelas				LC				LC	LC			LC				LC					
4886	Icterus nigrogularis				LC				LC	LC			LC				LC		LC			
4887	Icterus northropi											CR	CR	CR			CR					
4888	Icterus oberi				CR				CR	CR	CR		CR	CR		CR	VU	VU				
4889	Icterus parisorum				LC				LC	LC			LC				LC			LC		
4890	Icterus pectoralis				LC				LC	LC			LC				LC		LC			
4891	Icterus portoricensis											LC	LC				LC					
4892	Icterus prosthemelas				LC				LC	LC			LC				LC		LC			
4893	Icterus pustulatus				LC				LC	LC			LC				LC					
4894	Icterus pyrrhopterus											LC	LC				LC					
4895	Icterus spurius																LC					
4896	Icterus wagleri				LC				LC	LC			LC				LC					
4897	Icthyophaga humilis				NT				NT				NT				NT					
4898	Icthyophaga ichthyaetus				NT				NT				NT			NT	NT					
4899	Ictinaetus malaiensis				LC				LC	LC			LC				LC					
4900	Ictinia mississippiensis				LC				LC	LC			LC				LC					
4901	Ictinia plumbea				LC				LC	LC			LC				LC		LC			
4902	Idiopsar brachyurus				LC				LC	LC			LC				LC		LC			
4903	Iduna caligata				LC				LC	LC			LC				LC					
4904	Iduna natalensis				LC				LC	LC			LC				LC					
4905	Iduna opaca							LC	LC	LC			LC		LC		LC	LC				
4906	Iduna pallida							LC	LC	LC			LC				LC	LC				
4907	Iduna rama				LC				LC	LC			LC				LC	LC				
4908	Iduna similis				LC				LC	LC			LC				LC					
4909	Ifrita kowaldi				LC				LC	LC			LC				LC					
4910	Ilicura militaris				LC				LC	LC			LC				LC					
4911	Illadopsis albipectus				LC				LC	LC			LC				LC					
4912	Illadopsis cleaveri				LC				LC	LC			LC				LC		LC			
4913	Illadopsis distans																LC					
4914	Illadopsis fulvescens				LC				LC	LC			LC				LC		LC			
4915	Illadopsis puveli				LC				LC	LC			LC				LC		LC			
4916	Illadopsis pyrrhoptera				LC				LC	LC			LC				LC					
4917	Illadopsis rufescens				NT				NT				NT				NT		NT			
4918	Illadopsis rufipennis																LC					
4919	Illadopsis turdina				LC				LC	LC			LC				LC		LC			
4920	Incana incana				LC				LC	LC			LC				LC					
4921	Incaspiza laeta				LC				LC	LC			LC				LC					
4922	Incaspiza ortizi				VU				VU				VU				VU	LC				
4923	Incaspiza personata				LC				LC	LC			LC				LC					
4924	Incaspiza pulchra				LC				LC	LC			LC				LC		LC			
4925	Incaspiza watkinsi				NT				NT				NT				NT			NT		
4926	Indicator archipelagicus				NT				NT				NT				NT					
4927	Indicator exilis				LC				LC	LC			LC				LC					
4928	Indicator indicator				LC				LC	LC			LC				LC					
4929	Indicator maculatus				LC				LC	LC			LC				LC					
4930	Indicator meliphilus				LC				LC	LC			LC				LC		LC			
4931	Indicator minor				LC				LC	LC			LC				LC					
4932	Indicator pumilio				NT				NT				NT	NT			NT					
4933	Indicator variegatus				LC				LC	LC			LC				LC					
4934	Indicator willcocksi				LC				LC	LC			LC				LC	LC				
4935	Indicator xanthonotus				NT				NT				NT				NT					
4936	Inezia caudata						LC		LC	LC			LC				LC					
4937	Inezia inornata				LC				LC	LC			LC				LC					
4938	Inezia subflava						LC		LC	LC			LC				LC					
4939	Inezia tenuirostris				LC				LC	LC			LC				LC					
4940	Iodopleura fusca				LC				LC	LC			LC				LC					
4941	Iodopleura isabellae				LC				LC	LC			LC				LC		LC			
4942	Iodopleura pipra				NT				NT				NT				EN					
4943	Iole charlottae				NT				NT				NT				NT					
4944	Iole finschii				NT				NT				NT				NT					
4945	Iole palawanensis				LC				LC	LC			LC				LC					
4946	Iole propinqua				LC				LC	LC			LC				LC					
4947	Iole viridescens				LC				LC	LC			LC				LC					
4948	Irania gutturalis				LC				LC	LC			LC				LC					
4949	Irediparra gallinacea				LC				LC	LC			LC				LC					
4950	Irena cyanogastra				LC				LC	LC			NT				NT					
4951	Irena puella																LC					
4952	Irena tweeddalii																NT		NT			
4953	Iridophanes pulcherrimus				LC				LC	LC			LC				LC					
4954	Iridosornis analis				LC				LC	LC			LC				LC					
4955	Iridosornis jelskii				LC				LC	LC			LC				LC					
4956	Iridosornis porphyrocephalus				NT				NT				NT				NT		NT			
4957	Iridosornis reinhardti				LC				LC	LC			LC				LC					
4958	Iridosornis rufivertex				LC				LC	LC			LC				LC		LC			
4959	Isleria guttata				LC				LC	LC			LC				LC					
4960	Isleria hauxwelli				LC				LC	LC			LC				LC					
4961	Islerothraupis cristata				LC				LC	LC			LC				LC		LC			
4962	Islerothraupis luctuosa				LC				LC	LC			LC				LC		LC			
4963	Islerothraupis rufiventer				LC				LC	LC			LC				LC					
4964	Ispidina lecontei				LC				LC	LC			LC				LC					
4965	Ispidina picta				LC				LC	LC			LC				LC					
4966	Ithaginis cruentus				LC				LC	LC			LC				LC					
4967	Ixidia cyaniventris				NT				NT				NT				NT					
4968	Ixidia erythropthalmos				LC				LC	LC			LC				LC					
4969	Ixidia squamata				NT				NT				NT				NT					
4970	Ixobrychus cinnamomeus				LC				LC	LC			LC				LC					
4971	Ixobrychus dubius														LC		LC					
4972	Ixobrychus eurhythmus				LC				LC	LC			LC				LC					
4973	Ixobrychus exilis				LC				LC	LC			LC				LC					
4974	Ixobrychus flavicollis				LC				LC	LC			LC				LC					
4975	Ixobrychus involucris				LC				LC	LC			LC				LC					
4976	Ixobrychus minutus														LC		LC		LC			
4977	Ixobrychus sinensis				LC				LC	LC			LC				LC					
4978	Ixobrychus sturmii				LC				LC	LC			LC				LC					
4979	Ixonotus guttatus				LC				LC	LC			LC				LC		LC			
4980	Ixoreus naevius				LC				LC	LC			LC				LC					
4981	Ixos malaccensis				NT				NT				NT				NT					
4982	Ixos mcclellandii				LC				LC	LC			LC				LC					
4983	Ixos nicobariensis				VU				VU	NT			NT				NT					
4984	Ixos sumatranus																LC					
4985	Ixos virescens																LC					
4986	Jabiru mycteria				LC				LC	LC			LC				LC					
4987	Jacamaralcyon tridactyla				VU				VU				VU				VU		VU			
4988	Jacamerops aureus				LC				LC	LC			LC				LC					
4989	Jacana jacana				LC				LC	LC			LC				LC					
4990	Jacana spinosa				LC				LC	LC			LC				LC					
4991	Jubula lettii				LC	DD			DD				DD				DD					
4992	Juliamyia julie				LC				LC	LC			LC				LC					
4993	Junco bairdi																NT					
4994	Junco hyemalis				LC												LC					
4995	Junco insularis				CR												EN					
4996	Junco phaeonotus																LC					
4997	Junco vulcani				LC				LC	LC			LC				LC					
4998	Jynx ruficollis				LC				LC	LC			LC				LC					
4999	Jynx torquilla				LC				LC	LC			LC			LC	LC	LC				
5000	Kakamega poliothorax				LC				LC	LC			LC				LC					
5001	Kaupifalco monogrammicus				LC				LC	LC			LC				LC					
5002	Kempiella flavovirescens				LC				LC	LC			LC				LC	LC				
5003	Kempiella griseoceps				LC				LC	LC			LC				LC	LC				
5004	Kenopia striata				NT				NT				NT				NT					
5005	Ketupa flavipes				LC				LC	LC			LC				LC		LC			
5006	Ketupa ketupu				LC				LC	LC			LC				LC					
5007	Ketupa zeylonensis				LC				LC	LC			LC				LC					
5008	Kittacincla albiventris																NT	LC				
5009	Kittacincla cebuensis				EN				EN				EN				EN					
5010	Kittacincla luzoniensis																LC					
5011	Kittacincla malabarica																LC	LC				
5012	Kittacincla nigra				LC				LC	LC			LC				LC					
5013	Kittacincla superciliaris																LC					
5014	Klais guimeti				LC				LC	LC			LC				LC					
5015	Kleinothraupis atropileus																LC	LC				
5016	Kleinothraupis auricularis																LC					
5017	Kleinothraupis calophrys				LC				LC	LC			LC				LC					
5018	Kleinothraupis parodii				LC				LC	LC			NT				NT	NT				
5019	Kleinothraupis reyi				NT				NT				NT				NT					
5020	Knipolegus aterrimus																LC					
5021	Knipolegus cabanisi																LC					
5022	Knipolegus cyanirostris				LC				LC	LC			LC				LC		LC			
5023	Knipolegus franciscanus				LC	NT			NT				NT	LC			LC	LC				
5024	Knipolegus heterogyna																LC	LC				
5025	Knipolegus hudsoni				LC				LC	LC			LC				LC					
5026	Knipolegus lophotes				LC				LC	LC			LC				LC					
5027	Knipolegus nigerrimus				LC				LC	LC			LC				LC					
5028	Knipolegus orenocensis																LC	LC				
5029	Knipolegus poecilocercus				LC				LC	LC			LC				LC					
5030	Knipolegus poecilurus				LC				LC	LC			LC				LC		LC			
5031	Knipolegus sclateri																LC	LC				
5032	Knipolegus signatus																LC					
5033	Knipolegus striaticeps				LC				LC	LC			LC				LC					
5034	Kupeornis chapini				NT				NT				NT		NT		NT					
5035	Kupeornis gilberti				EN				EN				EN				EN	VU				
5036	Kupeornis rufocinctus				NT				NT				NT	NT			NT					
5037	Lacedo melanops														LC		LC					
5038	Lacedo pulchella														LC		LC					
5039	Lafresnaya lafresnayi				LC				LC	LC			LC				LC					
5040	Lagonosticta larvata																LC					
5041	Lagonosticta nigricollis																LC					
5042	Lagonosticta nitidula				LC				LC	LC			LC				LC					
5043	Lagonosticta rara				LC				LC	LC			LC				LC					
5044	Lagonosticta rhodopareia																LC					
5045	Lagonosticta rubricata																LC	LC				
5046	Lagonosticta rufopicta				LC				LC	LC			LC				LC					
5047	Lagonosticta sanguinodorsalis				LC				LC	LC			LC				LC	LC				
5048	Lagonosticta senegala				LC				LC	LC			LC				LC		LC			
5049	Lagonosticta umbrinodorsalis																LC					
5050	Lagonosticta vinacea																LC					
5051	Lagonosticta virata				LC				LC	LC			LC				LC		LC			
5052	Lagopus lagopus				LC				LC	LC			LC				LC					
5053	Lagopus leucura				LC				LC	LC			LC				LC		LC			
5054	Lagopus muta				LC				LC	LC			LC				LC					
5055	Lalage atrovirens																LC					
5056	Lalage aurea				LC				LC	LC			LC				LC					
5057	Lalage conjuncta																VU					
5058	Lalage fimbriata				LC				LC	LC			LC				LC					
5059	Lalage leucomela																LC					
5060	Lalage leucoptera																NT					
5061	Lalage leucopyga				LC				LC	LC			LC				LC					
5062	Lalage leucopygialis				LC				LC	LC			LC				LC		LC			
5063	Lalage maculosa				LC				LC	LC			LC				LC	LC				
5064	Lalage melanoleuca																LC					
5065	Lalage melanoptera				LC				LC	LC			LC				LC	LC				
5066	Lalage melaschistos				LC				LC	LC			LC				LC		LC			
5067	Lalage minor																LC					
5068	Lalage moesta				LC				LC	LC			LC				LC					
5069	Lalage newtoni				EN				CR	CR	CR		CR	CR		CR	CR					
5070	Lalage nigra				LC				LC	LC			LC				LC		LC			
5071	Lalage polioptera				LC				LC	LC			LC				LC					
5072	Lalage sharpei				NT				NT				NT				NT					
5073	Lalage sueurii				LC				LC	LC			LC				LC	LC				
